case,dataset_mode,model_name,negative_sampling,seed,deletion_rate,objective,score,history,method,label_count,query_count,single_query_count,multi_query_count,label_coverage,full_set_coverage,partial_answer_recall,mean_set_size,single_full_set_coverage,multi_full_set_coverage,single_mean_set_size,multi_mean_set_size,multi_minus_single_full_set_coverage
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,minmax,static,label_minmax_static,190310,173509,159915,13594,0.8545636067468867,0.845345198231792,0.8544180085738449,2068.997331550525,0.853903636306788,0.744666764749154,2114.9220460869838,1528.7552596733854,-0.10923687155763395
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,negscore,expanding,label_negscore_expanding,190310,173509,159915,13594,0.8688455677578687,0.8599150476344166,0.866891998990334,4254.536594643506,0.8648969765187756,0.8013094012064146,4269.956783291123,4073.1389583639843,-0.06358757531236103
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,negscore,rolling,label_negscore_rolling,190310,173509,159915,13594,0.8987599180284799,0.8919306779475417,0.8983084288777364,5151.593202658076,0.8976518775599537,0.824628512579079,5195.797636244255,4631.587906429307,-0.0730233649808747
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,negscore,static,label_negscore_static,190310,173509,159915,13594,0.8347012768640639,0.824060999717594,0.8312767612463882,2633.0655066884137,0.8279273363974612,0.7785787847579815,2606.680180095676,2943.453141091658,-0.04934855163947971
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,softmax,expanding,label_softmax_expanding,190310,173509,159915,13594,0.8963112815931901,0.8942302704758831,0.9025927315903628,5037.260522508919,0.9077009661382609,0.7357657790201559,5125.470399899947,3999.590775342063,-0.17193518711810496
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,softmax,rolling,label_softmax_rolling,190310,173509,159915,13594,0.9747990121380905,0.974589214392337,0.976828387384324,8692.723028776605,0.9784698120876716,0.9289392378990731,8727.128211862551,8287.992643813448,-0.04953057418859852
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,label,softmax,static,label_softmax_static,190310,173509,159915,13594,0.800677841416636,0.7970134114080537,0.8107067745952472,2168.8743523390717,0.8185536066035081,0.5436221862586436,2275.42119250852,915.4950713550096,-0.2749314203448645
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,query_max,margin,expanding,query_max_margin_expanding,190310,173509,159915,13594,0.8460774525773738,0.8432934314646503,0.8555332153510057,2811.31568391265,0.8629396867085639,0.6121818449315874,2946.5198324109683,1220.82198028542,-0.25075784177697646
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,query_max,margin,rolling,query_max_margin_rolling,190310,173509,159915,13594,0.9001996742157532,0.8990715179039704,0.9082595457266224,4141.292630353469,0.9143294875402558,0.7195821686037958,4324.512928743395,1985.9539502721789,-0.19474731893646002
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,59,0.3,query_max,margin,static,query_max_margin_static,190310,173509,159915,13594,0.7986180442436025,0.7948924839633679,0.8087194617373168,2207.863240523546,0.8166213300816059,0.5392820361924379,2316.165819341525,933.8300720906282,-0.277339293889168
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,margin,expanding,label_margin_expanding,190310,173509,159915,13594,0.8472965162103936,0.8471433758479388,0.8590222617542526,3195.0377847834984,0.8681799706093862,0.5996763277916728,3347.2125128974767,1404.9081947918198,-0.26850364281771344
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,margin,rolling,label_margin_rolling,190310,173509,159915,13594,0.9003993484315065,0.9005123653528059,0.9102811050126463,4555.918010016771,0.9178438545477284,0.6966308665587759,4754.358052715505,2221.53964984552,-0.2212129879889525
icews05_15_continuous_complex,icews05_15,continuous_tcomplex,filtered,71,0.3,label,margin,static,label_margin_static,190310,173509,159915,13594,0.7967789396248227,0.7962699341244547,0.8097452216196778,2481.6184290152096,0.8198355376293656,0.5190525231719877,2604.0144201607104,1041.7953508900985,-0.3007830144573779
