run,dataset_mode,model_name,negative_sampling,seed,method,deletion_rate,coverage_change_vs_delete0,mean_size_change_vs_delete0,mrr_change_vs_delete0
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,adaptive,0.3,-0.0001996742158,-239.5325627,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,kgcp_minmax_static,0.3,0.003105459513,132.5904734,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,kgcp_negscore_static,0.3,0.001791813357,461.3221954,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,kgcp_softmax_static,0.3,-0.002086070096,-219.9701855,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,rolling_margin,0.3,-0.0002627292313,-240.0858389,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,static_margin,0.3,-0.002611528559,-225.9084756,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,top1,0.3,-0.003940938469,0,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,17,weighted,0.3,-0.0001944196311,-238.8672534,-0.003287542699
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,adaptive,0.3,-4.729126163e-05,489.3568073,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,kgcp_minmax_static,0.3,0.001219063633,176.683963,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,kgcp_negscore_static,0.3,-0.002164888866,22.26304976,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,kgcp_softmax_static,0.3,-0.001450265357,398.5873575,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,rolling_margin,0.3,-2.627292313e-05,493.1382902,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,static_margin,0.3,-0.0002049288004,396.3817088,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,top1,0.3,0.004603016132,0,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,29,weighted,0.3,-5.780043088e-05,489.5733015,0.0002289890384
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,adaptive,0.3,0.0003940938469,593.0112921,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,kgcp_minmax_static,0.3,0.006878251274,298.3201829,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,kgcp_negscore_static,0.3,-0.001255845725,193.9356734,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,kgcp_softmax_static,0.3,0.0004361305239,467.2239767,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,rolling_margin,0.3,0.0001050916925,590.7628764,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,static_margin,0.3,0.0003310388314,458.4100257,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,top1,0.3,0.001560611634,0,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,43,weighted,0.3,0.0002627292313,589.6632599,-0.002458562121
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,adaptive,0.3,0.0004886763701,166.2251695,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,kgcp_minmax_static,0.3,0.00588513478,283.2325154,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,kgcp_negscore_static,0.3,-0.0001734012926,438.0006884,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,kgcp_softmax_static,0.3,-0.0004466396931,135.8939257,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,rolling_margin,0.3,0.0004308759393,161.4118071,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,static_margin,0.3,0.001050916925,146.9172613,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,top1,0.3,-0.00224896222,0,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,59,weighted,0.3,0.000378330093,160.9006568,-0.003613746721
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,71,adaptive,0.3,0.0003100204929,546.7855919,-0.0004171738764
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,71,kgcp_minmax_static,0.3,-0.002201670958,93.21720876,-0.0004171738764
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,71,kgcp_negscore_static,0.3,-0.006626031212,29.27659608,-0.0004171738764
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,71,kgcp_softmax_static,0.3,-0.0005096947086,429.8737954,-0.0004171738764
icews05_15_tcomplex_filtered,icews05_15,continuous_tcomplex,filtered,71,rolling_margin,0.3,0.0003468025853,547.3215228,-0.0004171738764
