case,dataset_mode,model_name,deletion_rate,family,comparison,metric,block_length,seed,observed,weighting
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,3,71,0.07666079386,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,17,0.06160742046,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,29,0.06612084154,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,43,0.06794486475,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,59,0.06236915743,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,7,71,0.07666079386,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,17,0.06160742046,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,29,0.06612084154,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,43,0.06794486475,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,59,0.06236915743,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,14,71,0.07666079386,label_count
icews14_continuous_complex,icews14,continuous_tcomplex,0.3,history_policy,label_margin_rolling-minus-label_margin_static,absolute_target_error_reduction,21,17,0.06160742046,label_count
