seed,deletion_rate,candidate,k_reg,penalty,threshold,observed_label_coverage,full_set_coverage,partial_answer_recall,mean_size,median_size,p90_size,full_vocabulary_set_rate,selected,selection_feasible,selection_target_coverage,selection_coverage_tolerance,selection_observed_label_coverage,selection_full_set_coverage,selection_mean_size,selection_p90_size
29,0.1,raps_k50_lam0p0001,50,0.0001,1.2649,0.8998352554,0.8920969832,0.8972484422,3187.429206,2715.166944,4649.034129,0,True,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k50_lam0p0005,50,0.0005,2.534392273,0.8996705107,0.8911715713,0.895844901,3260.210254,3121.253933,3715.907348,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k50_lam0p001,50,0.001,4.1149104,0.8995057661,0.890986489,0.8954747363,3240.935221,3166.00111,3489.534629,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k50_lam0p002,50,0.002,7.35298916,0.8996705107,0.8911715713,0.8956598186,3265.477512,3226.744401,3394.122413,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k100_lam0p0001,100,0.0001,1.2599,0.8998352554,0.8920969832,0.8972484422,3187.429206,2715.166944,4649.034129,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k100_lam0p0005,100,0.0005,2.509392273,0.8996705107,0.8911715713,0.895844901,3260.210254,3121.253933,3715.907348,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k100_lam0p001,100,0.001,4.0649104,0.8995057661,0.890986489,0.8954747363,3240.935221,3166.00111,3489.534629,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k100_lam0p002,100,0.002,7.25298916,0.8996705107,0.8911715713,0.8956598186,3265.477512,3226.744401,3394.122413,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k250_lam0p0001,250,0.0001,1.2449,0.8998352554,0.8920969832,0.8972484422,3187.429206,2715.166944,4649.034129,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k250_lam0p0005,250,0.0005,2.434392273,0.8996705107,0.8911715713,0.895844901,3260.210254,3121.253933,3715.907348,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k250_lam0p001,250,0.001,3.9149104,0.8995057661,0.890986489,0.8954747363,3240.935221,3166.00111,3489.534629,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k250_lam0p002,250,0.002,6.95298916,0.8996705107,0.8911715713,0.8956598186,3265.477512,3226.744401,3394.122413,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k500_lam0p0001,500,0.0001,1.2199,0.8998352554,0.8920969832,0.8972484422,3187.429206,2715.166944,4649.034129,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
29,0.1,raps_k500_lam0p0005,500,0.0005,2.309392273,0.8996705107,0.8911715713,0.895844901,3260.210254,3121.253933,3715.907348,0,False,True,0.9,0.02,0.8998352554,0.8920969832,3187.429206,4649.034129
