seed,deletion_rate,method,query_count,label_count,multi_answer_query_count,multi_answer_query_fraction,mean_answer_count,max_answer_count,full_set_coverage,partial_answer_recall,label_weighted_partial_recall,mean_size,median_size,p90_size,singleton_rate,multi_answer_full_set_coverage,multi_answer_partial_recall,multi_answer_mean_answer_count,full_vocabulary_set_rate,normalized_mean_size,normalized_p90_size
71,0.1,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8217524438,0.8412430388,0.8211731786,2702.673066,387,7128,0.03327052173,0.5103227682,0.7028143563,2.34690317,0.2059828053,0.379162888,1
71,0.1,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.8983629726,0.9136199561,0.8986682558,3770.629137,4704,7128,0.009598398304,0.6626926432,0.8133725468,2.34690317,0.3049110823,0.528988375,1
71,0.1,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8972441409,0.9125256602,0.8973468753,3749.021287,4579,7128,0.00992227064,0.6597848212,0.8107070433,2.34690317,0.302643976,0.5259569707,1
71,0.1,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8973324697,0.9126090818,0.897450513,3749.98254,4587,7128,0.00986338476,0.6600756034,0.8109493618,2.34690317,0.3026734189,0.5260918266,1
71,0.1,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2190554705,0.2345241016,0.2230542025,1,1,1,1,0,0.1527701621,2.34690317,0,0.000140291807,0.000140291807
71,0.2,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8178365328,0.8379159166,0.816949943,2735.510158,395,7128,0.03939465316,0.4937481826,0.6920547224,2.34690317,0.2083971264,0.383769663,1
71,0.2,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.898156872,0.9135215298,0.8978650637,3856.618449,5248,7128,0.01327876575,0.6568769991,0.8086203077,2.34690317,0.3084147921,0.541051971,1
71,0.2,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8975091273,0.9129037188,0.8970359623,3838.085561,5135,7128,0.01348486633,0.6545507415,0.8065896786,2.34690317,0.3065010011,0.5384519586,1
71,0.2,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8975091273,0.9129037188,0.8970359623,3838.131551,5136,7128,0.01348486633,0.6545507415,0.8065896786,2.34690317,0.3065010011,0.5384584106,1
71,0.2,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2185549405,0.234354314,0.2231837496,1,1,1,1,0,0.1560366155,2.34690317,0,0.000140291807,0.000140291807
71,0.3,static,33964,38596,3439,0.1012542692,1.136379696,17,0.8214580144,0.8416662227,0.8194372474,2849.959163,495,7128,0.03559651396,0.4888048851,0.6883837125,2.34690317,0.2198504299,0.3998259207,1
71,0.3,rolling,33964,38596,3439,0.1012542692,1.136379696,17,0.9007184077,0.9160296243,0.8991864442,3973.455335,5918.5,7128,0.01298433636,0.6519337017,0.8031492174,2.34690317,0.3268166294,0.5574432288,1
71,0.3,weighted,33964,38596,3439,0.1012542692,1.136379696,17,0.8996879048,0.9151198374,0.8980982485,3952.782211,5828.5,7128,0.01336709457,0.6487350974,0.8011428202,2.34690317,0.324578966,0.5545429588,1
71,0.3,adaptive,33964,38596,3439,0.1012542692,1.136379696,17,0.8996879048,0.9151198374,0.8980982485,3952.782211,5828.5,7128,0.01336709457,0.6487350974,0.8011428202,2.34690317,0.324578966,0.5545429588,1
71,0.3,top1,33964,38596,3439,0.1012542692,1.136379696,17,0.2165233777,0.232207433,0.2212146336,1,1,1,1,0,0.1548977185,2.34690317,0,0.000140291807,0.000140291807
