seed,deletion_rate,method,query_count,coverage,macro_time_coverage,positive_undercoverage,fraction_timestamps_below_target,mean_size,median_size,p90_size
29,0.2,time_window_14,38596,0.8879158462,0.8880969701,0.01535502625,0.7123287671,3639.035081,3797.607084,7128
43,0.2,time_window_14,38596,0.8865685563,0.8867920561,0.0162046243,0.7945205479,3378.866929,2064.76438,7128
59,0.2,time_window_14,38596,0.8860244585,0.8863498974,0.01686063687,0.7397260274,3442.352239,2536.881231,7128
71,0.2,time_window_14,38596,0.8868017411,0.8883035853,0.01489579547,0.7808219178,3391.121722,2122.365789,7128
17,0.2,time_window_30,38596,0.8756347808,0.8761102243,0.02520106774,0.9315068493,3340.486501,2080.732019,7128
29,0.2,time_window_30,38596,0.8764638823,0.8761054946,0.02493452172,0.8904109589,3476.400067,2855.553399,7128
43,0.2,time_window_30,38596,0.8723961032,0.8711694645,0.02947190199,0.9178082192,3164.215981,1251.792336,7128
59,0.2,time_window_30,38596,0.8724479221,0.8722333641,0.02871707993,0.9178082192,3244.294875,1519.628822,7128
71,0.2,time_window_30,38596,0.8736915743,0.8740961956,0.02679915771,0.9178082192,3196.795963,1384.13149,7128
17,0.3,static,38596,0.8222872837,0.8187100434,0.08128995657,1,2749.87636,773.89302,7128
29,0.3,static,38596,0.8326510519,0.8290745303,0.0710670361,0.9863013699,2926.770702,1046.256166,7128
43,0.3,static,38596,0.8242563996,0.8202162492,0.07978375078,1,2718.38846,639.49829,7128
59,0.3,static,38596,0.8187895119,0.813782159,0.08621784097,1,2712.591668,670.132449,7128
71,0.3,static,38596,0.8194372474,0.8146341759,0.08546575331,0.9863013699,2635.305343,611.7065499,7128
17,0.3,expanding,38596,0.8584827443,0.8570731564,0.04317590959,0.9863013699,3222.448881,1752.894108,7128
29,0.3,expanding,38596,0.8657632915,0.8643736435,0.03605545303,0.9452054795,3308.288657,2026.837004,7128
43,0.3,expanding,38596,0.8578868277,0.8556673049,0.04458628977,0.9589041096,3142.297311,1311.790004,7128
59,0.3,expanding,38596,0.8566949943,0.8547213305,0.04560082037,0.9726027397,3187.742149,1457.765442,7128
71,0.3,expanding,38596,0.8560990776,0.8537346392,0.04646128397,0.9726027397,3044.158877,1115.42735,7128
17,0.3,rolling_count_250,38596,0.9118302415,0.9101433038,0.007661248117,0.3561643836,4129.205099,5779.329205,7128
29,0.3,rolling_count_250,38596,0.9156389263,0.9146133579,0.005067867845,0.2465753425,4111.448492,5618.336615,7128
43,0.3,rolling_count_250,38596,0.9117266038,0.9110254115,0.006147513688,0.3561643836,3967.296637,5155.946419,7128
59,0.3,rolling_count_250,38596,0.91278889,0.9116728524,0.005701109815,0.3150684932,4050.66867,5516.005337,7128
71,0.3,rolling_count_250,38596,0.9123484299,0.9117291515,0.005237249045,0.2739726027,3966.422298,5130.162038,7128
17,0.3,rolling_count_500,38596,0.8987718935,0.8992217513,0.01014279819,0.4794520548,3903.119779,5110.484558,7128
29,0.3,rolling_count_500,38596,0.9005596435,0.8999936732,0.01084829956,0.4520547945,3863.059825,4633.831511,7128
43,0.3,rolling_count_500,38596,0.9008705565,0.901036085,0.009801030673,0.5068493151,3751.357161,4179.191522,7128
59,0.3,rolling_count_500,38596,0.8998341797,0.8989557945,0.01031263174,0.4246575342,3844.922609,4798.578687,7128
71,0.3,rolling_count_500,38596,0.9002487304,0.9002355528,0.008837717826,0.5342465753,3747.346176,4275.121386,7128
17,0.3,rolling_count_1000,38596,0.9000155457,0.9001761446,0.007768850243,0.4931506849,3898.62123,5232.748057,7128
29,0.3,rolling_count_1000,38596,0.9003005493,0.9000476268,0.008698907958,0.4931506849,3849.672894,4769.516038,7128
43,0.3,rolling_count_1000,38596,0.8994455384,0.8988832505,0.009288066923,0.4931506849,3724.069541,4208.159421,7128
59,0.3,rolling_count_1000,38596,0.8999637268,0.8991300265,0.009133244942,0.4931506849,3829.671831,4793.362162,7128
71,0.3,rolling_count_1000,38596,0.8991864442,0.8994643797,0.00761912323,0.6164383562,3710.558218,4264.992797,7128
