seed,deletion_rate,method,timestamp,query_count,threshold,pool_score_count,pool_span_blocks,selected_half_life,coverage,mean_size,median_size,p90_size,extra_delay_blocks
17,0,static,326,422,14.88379383,26604,56,,0.7701421801,1929.654028,105,7128,7
17,0,rolling,326,422,18.77629185,1000,10,,0.8886255924,2806.78673,380.5,7128,7
17,0,static,327,738,14.88379383,31296,57,,0.8021680217,2524.928184,293.5,7128,0
17,0,rolling,327,738,19.39013481,1000,3,,0.9078590786,3673.224932,4321.5,7128,0
17,0,static,327,738,14.88379383,30874,57,,0.8021680217,2524.928184,293.5,7128,1
17,0,rolling,327,738,18.47715044,1000,3,,0.8943089431,3418.265583,1787.5,7128,1
17,0,static,327,738,14.88379383,29680,57,,0.8021680217,2524.928184,293.5,7128,3
17,0,rolling,327,738,18.56366777,1000,5,,0.8970189702,3447.945799,1849.5,7128,3
17,0,static,327,738,14.88379383,26928,57,,0.8021680217,2524.928184,293.5,7128,7
17,0,rolling,327,738,18.65745962,1000,10,,0.8997289973,3478.03794,1990,7128,7
17,0,static,328,600,14.88379383,32034,58,,0.8183333333,2588.966667,389,7128,0
17,0,rolling,328,600,18.77626848,1000,2,,0.8933333333,3826.738333,5582.5,7128,0
17,0,static,328,600,14.88379383,31296,58,,0.8183333333,2588.966667,389,7128,1
17,0,rolling,328,600,19.39013481,1000,4,,0.9,3987.456667,6346,7128,1
17,0,static,328,600,14.88379383,30476,58,,0.8183333333,2588.966667,389,7128,3
17,0,rolling,328,600,18.85798836,1000,5,,0.8933333333,3847.025,5677.5,7128,3
17,0,static,328,600,14.88379383,27664,58,,0.8183333333,2588.966667,389,7128,7
17,0,rolling,328,600,18.42174265,1000,9,,0.8916666667,3714.605,4870.5,7128,7
17,0,static,329,684,14.88379383,32634,59,,0.831871345,2690.596491,432,7128,0
17,0,rolling,329,684,20.07390404,1000,2,,0.9210526316,4251.571637,6826.5,7128,0
17,0,static,329,684,14.88379383,32034,59,,0.831871345,2690.596491,432,7128,1
17,0,rolling,329,684,18.77626848,1000,3,,0.9093567251,3861.880117,5454,7128,1
17,0,static,329,684,14.88379383,30874,59,,0.831871345,2690.596491,432,7128,3
17,0,rolling,329,684,18.47715044,1000,5,,0.9049707602,3772.773392,4950.5,7128,3
17,0,static,329,684,14.88379383,28344,59,,0.831871345,2690.596491,432,7128,7
17,0,rolling,329,684,18.3113308,1000,9,,0.9005847953,3729.001462,4595,7128,7
